section,function,parameters,direct_records,output_cardinality,our_records,our_lut_evals,alternative_records,alternative_lut_evals,alternative_ciphertext_multiplications,record_advantage,exact,exhaustive_cases,retained,paper_route,alternative_route,note
elementary,floor division,"m in [0,63], d in [1,63]",4032,64,1192,3,4032,1,0,3.38255,True,4032,True,"ceil-log minus floor-log, then exponential LUT","one packed (m,d) LUT; packing and arithmetic costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,3-input geometric mean,"x_i in [1,15]",3375,15,1252,4,3375,1,2,2.695687,True,3375,True,"quantized logarithms, addition, then an exact finite outer reconstruction LUT","multiply x1*x2*x3, then use one cube-root/floor LUT on the full product interval",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,variable-index integer root,"floor(a^(1/b)), a,b in [2,16]",225,4,106,3,225,1,0,2.122642,True,225,True,"quantized log-log(a) minus log(b), then an exact finite outer LUT","one packed (a,b) LUT; preprocessing costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,variable-index integer root,"floor(a^(1/b)), a,b in [2,32]",961,5,234,3,961,1,0,4.106838,True,961,True,"quantized log-log(a) minus log(b), then an exact finite outer LUT","one packed (a,b) LUT; preprocessing costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,variable-base integer logarithm,"floor(log_a(b)), a,b in [2,32]",961,6,347,3,961,1,0,2.769452,True,961,True,"quantized log-log(b) minus log-log(a), then an exact finite outer LUT","one packed (a,b) LUT; preprocessing costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(log(1+x)/log(1+y)),"x,y in [1,31], t=32",961,6,343,3,961,1,0,2.801749,True,961,True,quantized log-log(1+x) difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(log(1+x^2)/log(1+y^2)),"x,y in [1,31], t=32",961,10,435,3,961,1,0,2.209195,True,961,True,quantized log-log(1+x^2) difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(sqrt(1+x^2)/sqrt(1+y^2)),"x,y in [1,31], t=32",961,22,437,3,961,1,0,2.199085,True,961,True,quantized logarithms of square-root features followed by one exact finite outer LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(asinh(x)/asinh(y)),"x,y in [1,31], t=32",961,5,411,3,961,1,0,2.3382,True,961,True,quantized log-asinh difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(sqrt(log(1+x)/log(1+y))),"x,y in [1,31], t=32",961,3,339,3,961,1,0,2.834808,True,961,True,quantized half log-log difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(cuberoot(log(1+x)/log(1+y))),"x,y in [1,31], t=32",961,2,335,3,961,1,0,2.868657,True,961,True,quantized one-third log-log difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
elementary,floor(sqrt(asinh(x)/asinh(y))),"x,y in [1,31], t=32",961,3,409,3,961,1,0,2.349633,True,961,True,quantized half log-asinh difference followed by one exact finite exponential/floor LUT,"compute the two unary transforms, then use one packed-pair LUT; transform costs are omitted",Alternative preprocessing is treated optimistically as free in the LUT-record comparison.
