family,function,parameters,construction,direct_records,output_cardinality,decomposed_records,compression_ratio,lut_calls,reachable_states,exhaustive_cases,maximum_error,exact,selected,elapsed_ms,scale,note
finite elementary composition,floor division,"m in [0,15], d in [1,15]","ceil-log minus floor-log, then exponential LUT",240,16,204,1.176471,3,120,240,0,True,False,158.539,22,Outer interval has 173 consecutive codes; every exponential output was checked.
finite elementary composition,floor division,"m in [0,31], d in [1,31]","ceil-log minus floor-log, then exponential LUT",992,32,500,1.984000,3,335,992,0,True,False,1139.690,44,Outer interval has 437 consecutive codes; every exponential output was checked.
finite elementary composition,floor division,"m in [0,63], d in [1,63]","ceil-log minus floor-log, then exponential LUT",4032,64,1192,3.382550,3,849,4032,0,True,True,8679.333,89,Outer interval has 1065 consecutive codes; every exponential output was checked.
finite elementary composition,2-input geometric mean,"x_i in [1,15]","quantized logarithms, addition, then an exact finite outer reconstruction LUT",225,15,383,0.587467,3,94,225,0,True,False,20.344,45,Outer interval has 353 consecutive codes; rounding=nearest.
finite elementary composition,3-input geometric mean,"x_i in [1,15]","quantized logarithms, addition, then an exact finite outer reconstruction LUT",3375,15,1252,2.695687,4,356,3375,0,True,True,361.996,103,Outer interval has 1207 consecutive codes; rounding=nearest.
finite elementary composition,2-input geometric mean,"x_i in [1,31]","quantized logarithms, addition, then an exact finite outer reconstruction LUT",961,31,4759,0.201933,3,364,961,0,True,False,474.067,474,Outer interval has 4697 consecutive codes; rounding=nearest.
finite elementary composition,weighted geometric mean,"floor((x*y^2)^(1/3)), x,y in [1,15]",weighted quantized logarithms followed by an exact finite outer reconstruction LUT,225,15,500,0.450000,3,157,225,0,True,False,16.443,40,Outer interval has 470 consecutive codes; rounding=nearest.
finite elementary composition,two-input harmonic mean,"floor(2xy/(x+y)), x,y in [1,15]","quantized reciprocals, addition, then an exact finite inverse LUT",225,15,535,0.420561,3,96,225,0,True,False,48.804,270,Outer interval has 505 consecutive codes; rounding=nearest.
finite elementary composition,variable-index integer root,"floor(a^(1/b)), a,b in [2,16]","quantized log-log(a) minus log(b), then an exact finite outer LUT",225,4,106,2.122642,3,70,225,0,True,True,16.068,15,Outer interval has 76 consecutive codes; rounding=nearest.
finite elementary composition,variable-base integer logarithm,"floor(log_a(b)), a,b in [2,16]","quantized log-log(b) minus log-log(a), then an exact finite outer LUT",225,5,123,1.829268,3,83,225,0,True,False,17.881,23,Outer interval has 93 consecutive codes; rounding=nearest.
finite elementary composition,variable-index integer root,"floor(a^(1/b)), a,b in [2,32]","quantized log-log(a) minus log(b), then an exact finite outer LUT",961,5,234,4.106838,3,163,961,0,True,True,69.067,27,Outer interval has 172 consecutive codes; rounding=nearest.
finite elementary composition,variable-base integer logarithm,"floor(log_a(b)), a,b in [2,32]","quantized log-log(b) minus log-log(a), then an exact finite outer LUT",961,6,347,2.769452,3,243,961,0,True,True,92.584,61,Outer interval has 285 consecutive codes; rounding=nearest.
Deeper elementary composition,floor(sin(pi*x/(2t))/sin(pi*y/(2t))),"x,y in [1,15], t=16",quantized log-sine difference followed by one exact finite exponential/floor LUT,225,11,233,0.965665,3,131,225,0,True,False,16.732,30,Outer interval has 203 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(tan(pi*x/(4t))/tan(pi*y/(4t))),"x,y in [1,15], t=16",quantized log-tangent difference followed by one exact finite exponential/floor LUT,225,16,199,1.130653,3,111,225,0,True,False,14.570,20,Outer interval has 169 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cos(pi*x/(2t))/cos(pi*y/(2t))),"x,y in [1,15], t=16",quantized log-cosine difference followed by one exact finite exponential/floor LUT,225,11,233,0.965665,3,131,225,0,True,False,16.519,30,Outer interval has 203 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x)/log(1+y)),"x,y in [1,15], t=16",quantized log-log(1+x) difference followed by one exact finite exponential/floor LUT,225,5,123,1.829268,3,81,225,0,True,False,15.901,23,Outer interval has 93 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x^2)/log(1+y^2)),"x,y in [1,15], t=16",quantized log-log(1+x^2) difference followed by one exact finite exponential/floor LUT,225,8,151,1.490066,3,91,225,0,True,False,15.792,20,Outer interval has 121 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(1+x^2)/sqrt(1+y^2)),"x,y in [1,15], t=16",quantized logarithms of square-root features followed by one exact finite outer LUT,225,11,141,1.595745,3,87,225,0,True,False,13.544,16,Outer interval has 111 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(asinh(x)/asinh(y)),"x,y in [1,15], t=16",quantized log-asinh difference followed by one exact finite exponential/floor LUT,225,4,121,1.859504,3,81,225,0,True,False,16.179,23,Outer interval has 91 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sinh(x/t)/sinh(y/t)),"x,y in [1,15], t=16",quantized log-sinh difference followed by one exact finite exponential/floor LUT,225,16,311,0.723473,3,139,225,0,True,False,19.016,34,Outer interval has 281 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(sin(pi*x/(2t))/sin(pi*y/(2t)))),"x,y in [1,15], t=16",quantized half log-sine difference followed by one exact finite exponential/floor LUT,225,4,191,1.178010,3,117,225,0,True,False,22.461,48,Outer interval has 161 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(log(1+x)/log(1+y))),"x,y in [1,15], t=16",quantized half log-log difference followed by one exact finite exponential/floor LUT,225,3,117,1.923077,3,79,225,0,True,False,20.278,43,Outer interval has 87 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cuberoot(log(1+x)/log(1+y))),"x,y in [1,15], t=16",quantized one-third log-log difference followed by one exact finite exponential/floor LUT,225,2,117,1.923077,3,79,225,0,True,False,24.606,65,Outer interval has 87 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(asinh(x)/asinh(y))),"x,y in [1,15], t=16",quantized half log-asinh difference followed by one exact finite exponential/floor LUT,225,2,121,1.859504,3,81,225,0,True,False,20.834,46,Outer interval has 91 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sin(pi*x/(2t))/sin(pi*y/(2t))),"x,y in [1,31], t=32",quantized log-sine difference followed by one exact finite exponential/floor LUT,961,21,899,1.068966,3,475,961,0,True,False,133.257,96,Outer interval has 837 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(tan(pi*x/(4t))/tan(pi*y/(4t))),"x,y in [1,31], t=32",quantized log-tangent difference followed by one exact finite exponential/floor LUT,961,33,665,1.445113,3,395,961,0,True,False,85.657,57,Outer interval has 603 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cos(pi*x/(2t))/cos(pi*y/(2t))),"x,y in [1,31], t=32",quantized log-cosine difference followed by one exact finite exponential/floor LUT,961,21,899,1.068966,3,475,961,0,True,False,98.622,96,Outer interval has 837 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x)/log(1+y)),"x,y in [1,31], t=32",quantized log-log(1+x) difference followed by one exact finite exponential/floor LUT,961,6,343,2.801749,3,237,961,0,True,True,102.923,60,Outer interval has 281 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x^2)/log(1+y^2)),"x,y in [1,31], t=32",quantized log-log(1+x^2) difference followed by one exact finite exponential/floor LUT,961,10,435,2.209195,3,273,961,0,True,True,96.116,56,Outer interval has 373 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(1+x^2)/sqrt(1+y^2)),"x,y in [1,31], t=32",quantized logarithms of square-root features followed by one exact finite outer LUT,961,22,437,2.199085,3,305,961,0,True,True,78.034,42,Outer interval has 375 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(asinh(x)/asinh(y)),"x,y in [1,31], t=32",quantized log-asinh difference followed by one exact finite exponential/floor LUT,961,5,411,2.338200,3,271,961,0,True,True,120.043,78,Outer interval has 349 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sinh(x/t)/sinh(y/t)),"x,y in [1,31], t=32",quantized log-sinh difference followed by one exact finite exponential/floor LUT,961,32,777,1.236808,3,421,961,0,True,False,108.977,69,Outer interval has 715 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(sin(pi*x/(2t))/sin(pi*y/(2t)))),"x,y in [1,31], t=32",quantized half log-sine difference followed by one exact finite exponential/floor LUT,961,5,899,1.068966,3,475,961,0,True,False,252.270,192,Outer interval has 837 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(log(1+x)/log(1+y))),"x,y in [1,31], t=32",quantized half log-log difference followed by one exact finite exponential/floor LUT,961,3,339,2.834808,3,239,961,0,True,True,156.479,119,Outer interval has 277 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cuberoot(log(1+x)/log(1+y))),"x,y in [1,31], t=32",quantized one-third log-log difference followed by one exact finite exponential/floor LUT,961,2,335,2.868657,3,235,961,0,True,True,207.354,175,Outer interval has 273 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(asinh(x)/asinh(y))),"x,y in [1,31], t=32",quantized half log-asinh difference followed by one exact finite exponential/floor LUT,961,3,409,2.349633,3,271,961,0,True,True,209.265,155,Outer interval has 347 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sin(pi*x/(2t))/sin(pi*y/(2t))),"x,y in [1,63], t=64",quantized log-sine difference followed by one exact finite exponential/floor LUT,3969,41,4235,0.937190,3,1925,3969,0,True,False,1936.256,384,Outer interval has 4109 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(tan(pi*x/(4t))/tan(pi*y/(4t))),"x,y in [1,63], t=64",quantized log-tangent difference followed by one exact finite exponential/floor LUT,3969,66,4621,0.858905,3,2067,3969,0,True,False,1403.973,356,Outer interval has 4495 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cos(pi*x/(2t))/cos(pi*y/(2t))),"x,y in [1,63], t=64",quantized log-cosine difference followed by one exact finite exponential/floor LUT,3969,41,4235,0.937190,3,1925,3969,0,True,False,1304.611,384,Outer interval has 4109 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x)/log(1+y)),"x,y in [1,63], t=64",quantized log-log(1+x) difference followed by one exact finite exponential/floor LUT,3969,7,913,4.347207,3,655,3969,0,True,True,896.092,152,Outer interval has 787 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x^2)/log(1+y^2)),"x,y in [1,63], t=64",quantized log-log(1+x^2) difference followed by one exact finite exponential/floor LUT,3969,12,1187,3.343724,3,733,3969,0,True,True,861.184,148,Outer interval has 1061 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(1+x^2)/sqrt(1+y^2)),"x,y in [1,63], t=64",quantized logarithms of square-root features followed by one exact finite outer LUT,3969,45,1311,3.027460,3,947,3969,0,True,True,488.842,108,Outer interval has 1185 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(asinh(x)/asinh(y)),"x,y in [1,63], t=64",quantized log-asinh difference followed by one exact finite exponential/floor LUT,3969,6,1001,3.965035,3,679,3969,0,True,True,994.242,178,Outer interval has 875 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sinh(x/t)/sinh(y/t)),"x,y in [1,63], t=64",quantized log-sinh difference followed by one exact finite exponential/floor LUT,3969,65,3811,1.041459,3,1837,3969,0,True,False,1285.910,297,Outer interval has 3685 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(sin(pi*x/(2t))/sin(pi*y/(2t)))),"x,y in [1,63], t=64",quantized half log-sine difference followed by one exact finite exponential/floor LUT,3969,7,4229,0.938520,3,1925,3969,0,True,False,4364.732,767,Outer interval has 4103 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(log(1+x)/log(1+y))),"x,y in [1,63], t=64",quantized half log-log difference followed by one exact finite exponential/floor LUT,3969,3,911,4.356751,3,653,3969,0,True,True,1553.986,303,Outer interval has 785 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cuberoot(log(1+x)/log(1+y))),"x,y in [1,63], t=64",quantized one-third log-log difference followed by one exact finite exponential/floor LUT,3969,2,913,4.347207,3,655,3969,0,True,True,2240.128,456,Outer interval has 787 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(asinh(x)/asinh(y))),"x,y in [1,63], t=64",quantized half log-asinh difference followed by one exact finite exponential/floor LUT,3969,3,981,4.045872,3,663,3969,0,True,True,1747.850,347,Outer interval has 855 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Low-dimensional sufficient statistic,integer mean,"t=8, ell=6",public sum followed by one floor-division LUT,262144,8,43,6096.372093,1,43,262144,0,True,True,67.945,,
Low-depth elementary composition,integer RMS,"t=8, ell=6","six square LUTs, addition, then one square-root LUT",262144,8,343,764.268222,7,250,262144,0,True,True,261.965,,
Low-dimensional sufficient statistic,quadratic-energy threshold,"t=8, ell=6, tau=98","coordinate-wise squares, sum, threshold LUT",262144,2,343,764.268222,7,250,262144,0,True,True,264.452,,
Low-dimensional sufficient statistic,variance bucket,"t=8, ell=6","packed sufficient statistics (sum, sum of squares), then bucket LUT",262144,8,12733,20.587764,7,734,262144,0,True,True,372.232,,
Low-dimensional sufficient statistic,clipped affine activation,"t=8, ell=6, w=(3, -2, 1, -1, 2, -3)",public affine score followed by a clipped quantization LUT,262144,8,85,3084.047059,1,85,262144,0,True,True,426.766,,
Comparator network,maximum,"t=8, ell=6",compare-exchange network using an absolute-difference LUT,262144,8,75,3495.253333,5,15,262144,0,True,True,96.730,,Repeated-table record-equivalents are counted conservatively; the absolute-value table can be reused.
Comparator network,lower median,"t=8, ell=6",compare-exchange network using an absolute-difference LUT,262144,8,225,1165.084444,15,15,262144,0,True,True,598.586,,Repeated-table record-equivalents are counted conservatively; the absolute-value table can be reused.
Comparator-network sufficient statistic,range,"t=8, ell=6",insertion compare-exchange network using an absolute-difference LUT,262144,8,225,1165.084444,15,15,262144,0,True,True,568.730,,Public additions/subtractions after the comparison network are not counted as LUT calls.
Comparator-network sufficient statistic,interquartile range,"t=8, ell=6",insertion compare-exchange network using an absolute-difference LUT,262144,8,225,1165.084444,15,15,262144,0,True,True,588.502,,Public additions/subtractions after the comparison network are not counted as LUT calls.
Comparator-network sufficient statistic,top-two sum,"t=8, ell=6",insertion compare-exchange network using an absolute-difference LUT,262144,15,225,1165.084444,15,15,262144,0,True,True,593.470,,Public additions/subtractions after the comparison network are not counted as LUT calls.
Comparator-network sufficient statistic,winsorized mean,"t=8, ell=6",insertion compare-exchange network using an absolute-difference LUT,262144,8,225,1165.084444,15,15,262144,0,True,True,627.482,,Public additions/subtractions after the comparison network are not counted as LUT calls.
Comparator-network sufficient statistic,median absolute deviation,"t=8, ell=6",insertion compare-exchange network using an absolute-difference LUT,262144,4,540,485.451852,36,15,262144,0,True,True,1248.535,,Public additions/subtractions after the comparison network are not counted as LUT calls.
Histogram sufficient statistic,mode,"t=5, ell=8",histogram indicators followed by a tie-aware maximum-count network,390625,5,268,1457.555970,44,495,390625,0,True,True,522.420,,
Histogram sufficient statistic,distinct-count,"t=5, ell=8",histogram indicators followed by zero/nonzero count LUTs,390625,5,245,1594.387755,45,495,390625,0,True,True,358.254,,
Histogram sufficient statistic,second frequency moment,"t=5, ell=8",histogram indicators followed by one nonlinear count table per symbol,390625,15,245,1594.387755,45,495,390625,0,True,True,352.087,,
Histogram sufficient statistic,collision-pair count,"t=5, ell=8",histogram indicators followed by one nonlinear count table per symbol,390625,15,245,1594.387755,45,495,390625,0,True,True,385.830,,
Histogram sufficient statistic,Gini impurity bucket,"t=5, ell=8",histogram indicators followed by one nonlinear count table per symbol,390625,6,245,1594.387755,45,495,390625,0,True,True,363.020,,
Histogram sufficient statistic,plurality margin,"t=5, ell=8",histogram indicators followed by a count compare-exchange network,390625,8,370,1055.743243,50,495,390625,0,True,True,323.175,,
Packed sufficient statistic,quantized Jaccard,"two binary vectors, n=8, output scale=15","pack each bit pair, accumulate two or three counts, then one normalized-score LUT",65536,15,113,579.964602,9,45,65536,0,True,True,88.656,,
Packed sufficient statistic,quantized Dice,"two binary vectors, n=8, output scale=15","pack each bit pair, accumulate two or three counts, then one normalized-score LUT",65536,14,185,354.248649,9,45,65536,0,True,True,58.768,,
Packed sufficient statistic,quantized cosine similarity,"two binary vectors, n=8, output scale=15","pack each bit pair, accumulate two or three counts, then one normalized-score LUT",65536,14,761,86.118265,9,165,65536,0,True,True,61.582,,
Packed sufficient statistic,quantized overlap coefficient,"two binary vectors, n=8, output scale=15","pack each bit pair, accumulate two or three counts, then one normalized-score LUT",65536,10,761,86.118265,9,165,65536,0,True,True,62.682,,
Bounded dynamic program,binary Levenshtein distance,"two binary strings, n=8",pair mismatch LUTs and a fixed min-plus dynamic program,65536,9,2208,29.681159,136,9,65536,0,True,True,556.048,,"This is a structural call/record count, not a latency claim; circuit depth is quadratic in n."
Bounded dynamic program,binary longest-common-subsequence length,"two binary strings, n=8",equality LUTs and a fixed max-plus dynamic program,65536,9,1344,48.761905,128,9,65536,0,True,True,329.650,,Conservative per-cell accounting; no ciphertext-latency claim is made.
