family,function,parameters,construction,direct_records,output_cardinality,decomposed_records,compression_ratio,lut_calls,reachable_states,exhaustive_cases,maximum_error,exact,selected,elapsed_ms,scale,note
finite elementary composition,floor division,"m in [0,15], d in [1,15]","ceil-log minus floor-log, then exponential LUT",240,16,204,1.176471,3,120,240,0,True,False,157.465,22,Outer interval has 173 consecutive codes; every exponential output was checked.
finite elementary composition,floor division,"m in [0,31], d in [1,31]","ceil-log minus floor-log, then exponential LUT",992,32,500,1.984000,3,335,992,0,True,False,1146.488,44,Outer interval has 437 consecutive codes; every exponential output was checked.
finite elementary composition,floor division,"m in [0,63], d in [1,63]","ceil-log minus floor-log, then exponential LUT",4032,64,1192,3.382550,3,849,4032,0,True,True,8675.118,89,Outer interval has 1065 consecutive codes; every exponential output was checked.
finite elementary composition,2-input geometric mean,"x_i in [1,15]","quantized logarithms, addition, then an exact finite outer reconstruction LUT",225,15,383,0.587467,3,94,225,0,True,False,17.643,45,Outer interval has 353 consecutive codes; rounding=nearest.
finite elementary composition,3-input geometric mean,"x_i in [1,15]","quantized logarithms, addition, then an exact finite outer reconstruction LUT",3375,15,1252,2.695687,4,356,3375,0,True,True,361.735,103,Outer interval has 1207 consecutive codes; rounding=nearest.
finite elementary composition,2-input geometric mean,"x_i in [1,31]","quantized logarithms, addition, then an exact finite outer reconstruction LUT",961,31,4759,0.201933,3,364,961,0,True,False,468.683,474,Outer interval has 4697 consecutive codes; rounding=nearest.
finite elementary composition,weighted geometric mean,"floor((x*y^2)^(1/3)), x,y in [1,15]",weighted quantized logarithms followed by an exact finite outer reconstruction LUT,225,15,500,0.450000,3,157,225,0,True,False,17.692,40,Outer interval has 470 consecutive codes; rounding=nearest.
finite elementary composition,two-input harmonic mean,"floor(2xy/(x+y)), x,y in [1,15]","quantized reciprocals, addition, then an exact finite inverse LUT",225,15,535,0.420561,3,96,225,0,True,False,48.328,270,Outer interval has 505 consecutive codes; rounding=nearest.
finite elementary composition,variable-index integer root,"floor(a^(1/b)), a,b in [2,16]","quantized log-log(a) minus log(b), then an exact finite outer LUT",225,4,106,2.122642,3,70,225,0,True,True,15.661,15,Outer interval has 76 consecutive codes; rounding=nearest.
finite elementary composition,variable-base integer logarithm,"floor(log_a(b)), a,b in [2,16]","quantized log-log(b) minus log-log(a), then an exact finite outer LUT",225,5,123,1.829268,3,83,225,0,True,False,17.414,23,Outer interval has 93 consecutive codes; rounding=nearest.
finite elementary composition,variable-index integer root,"floor(a^(1/b)), a,b in [2,32]","quantized log-log(a) minus log(b), then an exact finite outer LUT",961,5,234,4.106838,3,163,961,0,True,True,68.351,27,Outer interval has 172 consecutive codes; rounding=nearest.
finite elementary composition,variable-base integer logarithm,"floor(log_a(b)), a,b in [2,32]","quantized log-log(b) minus log-log(a), then an exact finite outer LUT",961,6,347,2.769452,3,243,961,0,True,True,92.465,61,Outer interval has 285 consecutive codes; rounding=nearest.
Deeper elementary composition,floor(sin(pi*x/(2t))/sin(pi*y/(2t))),"x,y in [1,15], t=16",quantized log-sine difference followed by one exact finite exponential/floor LUT,225,11,233,0.965665,3,131,225,0,True,False,16.881,30,Outer interval has 203 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(tan(pi*x/(4t))/tan(pi*y/(4t))),"x,y in [1,15], t=16",quantized log-tangent difference followed by one exact finite exponential/floor LUT,225,16,199,1.130653,3,111,225,0,True,False,14.785,20,Outer interval has 169 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(cos(pi*x/(2t))/cos(pi*y/(2t))),"x,y in [1,15], t=16",quantized log-cosine difference followed by one exact finite exponential/floor LUT,225,11,233,0.965665,3,131,225,0,True,False,16.603,30,Outer interval has 203 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x)/log(1+y)),"x,y in [1,15], t=16",quantized log-log(1+x) difference followed by one exact finite exponential/floor LUT,225,5,123,1.829268,3,81,225,0,True,False,16.243,23,Outer interval has 93 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(log(1+x^2)/log(1+y^2)),"x,y in [1,15], t=16",quantized log-log(1+x^2) difference followed by one exact finite exponential/floor LUT,225,8,151,1.490066,3,91,225,0,True,False,15.555,20,Outer interval has 121 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
Deeper elementary composition,floor(sqrt(1+x^2)/sqrt(1+y^2)),"x,y in [1,15], t=16",quantized logarithms of square-root features followed by one exact finite outer LUT,225,11,141,1.595745,3,87,225,0,True,False,13.799,16,Outer interval has 111 consecutive codes; rounding=nearest. Direct outputs were stable at 80 and 110 decimal digits.
